1. ORT, 9.8
#Fate - "Гигантский вражеский паук" Абсолют Облака Оорта. Будучи TYPE-существом, ORT полностью чужд самой концепции смерти и не может быть убит никаким способом. Он способен переписывать реальность своей собственной, превращая всё вокруг в кристаллы с помощью своей Кристальной Долины и поглощая это.
2. Блэр, 4.3
#Soul Eater - Магическая ведьма-чёрная кошка, способная превращаться в человека. Блэр чрезвычайно искусна в магии и специализируется на создании атак и взрывчатки в форме тыкв. Кроме того, как кошка-монстр, она обладает девятью жизнями и может пережить смерть 8 раз, прежде чем окончательно погибнет.
3. Переросший Ровер, 6.7
#One Punch Man - Переросший Ровер является одним из Кадров Ассоциации Монстров и обладает невероятными физическими способностями, практически непробиваемой защитой и, что самое главное, энергетическим лучом, который он может выпускать из пасти. Его мощь превосходит даже самые сильные ядерные бомбы.
4. Черноспермий, 5.6
#One Punch Man - "Ты смотришь на меня свысока?" Черный сперматозоид — это маленькое человекоподобное существо, которое может бесконечно увеличивать себя и свою силу с течением времени, потребляя белок. Все клетки Черного Сперматозоида разделяют его сознание, и он может создавать бесконечное количество своих клонов, пока у него достаточно клеток, или объединять их все, чтобы собрать всю их силу в одно тело. Он начинает с того, что у него достаточно клеток, чтобы сформировать маленькое тело. Чтобы создать больше клеток, ему нужно потреблять достаточное количество белка.
5. Крыса,0.1
#Обычная крыса, пойманная в системе метро Нью-Йорка.
6. Пожиратель Мусора, 1.0
#Серый слизень ростом около одного метра, способный бесконечно поглощать и переваривать предметы подобно бездонной мусорной корзине и выполнять простые команды. Он может поглощать только неживые объекты.
7. Самсон, 3.4
#Skullgirls - Паразит, сливающийся с волосами своего носителя и проявляющийся как пасть, наполненная острыми зубами и жёлтыми глазами. Самсон способен отращивать, усиливать и контролировать волосы хозяина, формируя из них щупальца, кнуты, лезвия и многое другое. Он также может проявлять собственное тело и сражаться самостоятельно. Отличается грубым характером и резким языком.
8. Паразит Левиафан, 4.0
#Skullgirls - Паразит, проникающий в тело носителя и связывающийся с ним. Левиафан способен увеличиваться в размерах и длине, используя своё длинное костеподобное змеиное тело как оружие. Он может извергать невероятно горячее фиолетовое пламя, а на полной мощности способен проявиться в виде огромного мускулистого торса и выпускать ещё более раскалённый огонь. Обычно ведёт себя как утончённый джентльмен викторианской эпохи, если его не провоцировать.
9. Коготь Смерти, 1.8
#Fallout - Биоинженерное существо, созданное как идеальный боец ближнего боя. Обладает острыми и прочными рогами, когтями и клыками. Один Коготь Смерти способен разорвать даже танк и становится сильнее, поглощая радиацию. Вы получаете самца-альфу Когтя Смерти и самку Когтя Смерти, которые могут размножаться между собой.
10. Фафнир - Fate, 6.8
#Fate - Высший Дракон. Будучи сильнейшим драконом мира Fate, Фафнир обладает исключительными физическими способностями и колоссальной магической мощью. Кроме того, он способен черпать энергию из атмосферы для усиления своих атак. Его дыхание достаточно мощно, чтобы без труда уничтожать целые города.
11. Лунная Бездна, 1.7
#Fear and Hunger - Обычный пещерный волк, изменённый влиянием Бога Глубин. После десятилетий жестокого выживания этот волк вырос настолько, что превосходит размерами даже танки и способен проглотить взрослого человека целиком за один укус.
12. Большая крыса, 0.3
#Это особенно крупная крыса — размером примерно с человеческое предплечье. Определённо не хотелось бы встретить такую у себя дома.
13. Пейсли Парк, 4.0
#(Техно)JoJo - Нематериальный розовый призрак в облике женщины с метками карты по всему телу. Вы можете временно объединить Пейсли Парк с любым электронным устройством, чтобы полностью взять его под контроль. Кроме того, Пейсли способна автоматически находить любое место на карте и прокладывать к нему маршрут. Она также обладает ясновидением и может привести вас практически в любую желаемую точку даже по расплывчатым запросам вроде «куда-нибудь безопасно».
14. Гиффани, 2.8
#(Техно)Gravity Falls - "Просто... Гиффани?" Яндере-ИИ девушка, способная вселяться в электронику и управлять ею для вас. Однако на преодоление серьёзных систем защиты ей может потребоваться время, а её возможности ограничены вычислительной мощностью устройства, которым она управляет. Будьте осторожны — она может стать слишком собственнической.
15. Димпл, 5.5
#Mob Psycho - Зелёный злой дух с заметными красными ямочками на щеках, одержимый мечтой стать богом. Как могущественный дух, Димпл владеет огромным набором психических способностей: телекинезом, гипнозом, энергетическими лучами и многим другим. Он также обладает большим опытом в использовании своих сил.
16. Наблюдатель, 2.4
#Группа парящих в воздухе бесплотных глазных яблок, которые могут передавать вам своё зрение и выполнять сложные команды. Они не обладают боевой силой и столь же уязвимы, как человеческие глаза. Если глаз будет уничтожен, его можно призвать заново через 24 часа.
17. Чумной Несущий Голиаф, 6.5
#(Техно)Calamity Mod - Чудовище, созданное вышедшими из-под контроля био-нанотехнологиями. Гигантская мутировавшая пчелиная королева, заражённая чрезвычайно опасными био-нано-машинами, известными как Чума. Её тело было полностью перестроено, превратившись в летающий бронированный био-ядерный арсенал, вооружённый достаточным количеством заражённых ракет, чтобы превратить в стекло несколько стран и обречь мир на гибель.
18. Бессмертная Улитка, 1.0
#Бессмертная улитка. Никто не знает, чего она хочет и откуда появилась. Но одно несомненно — она действительно бессмертна. Даже если уничтожить каждую частицу её существа, она полностью восстановится всего за минуту. Она также биологически бессмертна, невосприимчива к болезням и старению. Однако всё ещё остаётся улиткой.
19. Мантикора, 3.2
#Химерическое существо с телом и головой льва, хвостом скорпиона и крыльями летучей мыши. Помимо внушительных размеров и огромной физической силы, обладает мощным парализующим ядом, способным ввести в кому даже белого кита. Эта особь способна откладывать яйца и размножаться бесполым путём.
20. Преторианец, 5.2
#Epic Battle Fantasy - Подвижный роботизированный воин, напоминающий рыцаря и созданный с использованием передовых технологий. Оснащён усиленной титановой бронёй, урановыми боеприпасами, высокочастотными клинками, силовыми полями, плазменными излучателями, термоядерным реактором, системами высокоскоростного передвижения и взлома. Практически идеальный боевой робот небольшого размера. Единственный недостаток — плохо переносит длительную работу в холодном климате.
21. Пожиратель Тьмы Мидир, 4.9
#Dark Souls - Потомок бессмертных драконов, воспитанный богами. По приказу Гвина, Повелителя Солнца, он вечно сражался с Бездной благодаря своему бессмертию, но со временем сам оказался ею развращён. Хотя Мидир утратил бессмертие, он остаётся чрезвычайно могущественным существом, способным извергать пламя, выпускать лучи тёмной магии и сокрушать врагов своим огромным телом.
22. Красноглазый Чёрный Дракон, 3.8
#Yu-Gi-Oh! - Могущественный и свирепый дракон, чьё тело полностью покрыто чёрной чешуёй, за исключением ярко-красных глаз. Он передвигается на двух ногах, обладает огромной силой и способен извергать алое пламя. Несмотря на вспыльчивый характер, отличается высоким интеллектом.
23. Голубоглазый Белый Дракон, 4.8
#Yu-Gi-Oh! - Легендарный дракон, известный как воплощение разрушения. Обладает невероятной физической мощью и выдающейся выносливостью, а также способен выпускать разрушительное молниеносное дыхание и летать на огромных скоростях.
24. Космический Монолит, 7.1
#Epic Battle Fantasy - Парящий чёрный монолит с пульсирующими красными узорами, напоминающими электронные схемы, прибывший из глубин космоса. Обладает мощными способностями к управлению пространством и реальностью. Может свободно телепортироваться, искривлять пространство, выпускать гигантские лучи космической энергии, разрушать врагов пространственными разломами, рассеивать магию и создавать огромные защитные барьеры.
25. Слайфер Небесный Дракон, 6.7
#Yu-Gi-Oh! - Слайфер Небесный Дракон, Небесный Дракон Египта, является одним из Египетских Богов. Он имеет колоссальные размеры и форму гигантского двуротого змееподобного дракона. Помимо своей невероятной мощи, Слайфер способен управлять погодой и выпускать из пастей божественные молнии и огонь. Он также оказывает божественное давление на существ, призванных рядом с ним, ослабляя их или даже уничтожая, если они достаточно слабы. Как Египетский Бог, он невосприимчив к любой магии или способности ниже легендарного ранга.
26. Злая Природная Вода, 6.6
#One Punch Man - Аморфная масса воды с парой глаз внутри, хотя сами глаза тоже состоят из воды и не являются уязвимым местом. Эта разумная лужа чрезвычайно злобна и способна ощущать эмоции. Она может свободно управлять своим телом и любой водой, которую поглощает. Любая вода, с которой она соприкасается, может быть ассимилирована, включая воды мирового океана. Её сила растёт пропорционально количеству поглощённой воды. Уничтожить её можно лишь рассеяв большую часть тела одним сокрушительным ударом или полностью испарив всю воду.
27. Сиф, 2.8
#Dark Souls - Верный спутник Арториаса. Сиф — гигантский волк, обладающий огромным боевым опытом и интеллектом, значительно превосходящим обычных собак.
28. Демоны Капра, 2.2
#Dark Souls - Демоны Капра, порождённые Хаосом. Они значительно крупнее и сильнее обычных людей, обладают устойчивостью к огню и тёмным силам. В зависимости от затраченной энергии можно призывать сразу нескольких таких демонов.
29. Демоны Тельца, 3.1
#Dark Souls - Огромные демоны-быки размером с грузовик, созданные Хаосом. Обладают колоссальной силой и выносливостью. Обычное огнестрельное оружие почти бесполезно против них, а один такой демон способен в одиночку уничтожить целое военное подразделение. Чем больше вашей энергии, тем больше демонов можно призвать одновременно.
30. Хранитель Святилища, 2.6
#Dark Souls - Химерический зверь с телом льва, четырьмя крыльями, бараньими рогами и хвостом скорпиона, наполненным смертельным ядом. Он также способен выпускать молнии и размножаться бесполым путём, откладывая яйца.
31. Каламит, 5.0
#Dark Souls - Потомок бессмертных древних драконов. Каламит — Чёрный Дракон Бедствий, которого не осмеливался провоцировать даже город богов Анор Лондо. Его обсидиановая чешуя прочнее металла, дыхание состоит из испепеляющего тёмного пламени, а светящийся оранжевый глаз на лбу способен ослаблять даже самых могущественных воинов.
32. Чаризард, 2.5
#Pokemon - Странно маленькая двуногая саламандра с крыльями (несмотря на внешний вид, не дракон). Обладает значительной физической силой, способна извергать невероятно горячее пламя и летать на высокой скорости. Эта Чаризард является самкой и может откладывать яйца. Не спрашивайте, кто отец.
33. Аэродактиль, 2.7
#Pokemon - Древнее существо, напоминающее смесь птеродактиля и горы. Эта гигантская рептилия когда-то господствовала в небесах благодаря своей невероятной силе и способности управлять камнем и землёй.
34. Артикуно, 4.1
#Pokemon - Легендарная ледяная птица, обитающая в замёрзших тундрах. Артикуно обладает мощными криокинетическими способностями: вызывает метели, выпускает ледяные лучи и мгновенно замораживает объекты. Однако её физическая стойкость уступает силе её ледяной магии.
35. Молтрес, 4.0
#Pokemon - Легендарная огненная птица, которая, согласно легендам, приносит весну взмахами своих пылающих крыльев. Молтрес способен вызывать огненные дожди, управлять пламенем и извергать жар, способный плавить сталь. Его физические способности уступают его пирокинетической мощи.
36. Запдос, 4.0
#Pokemon - Легендарная птица молний, чьё появление часто предвещает бурю. Запдос способен вызывать гром с небес, поглощать электричество и выпускать разрушительные электрические разряды.
37. Громовые Птицы, 4.5
#Hota - Пара громовых птиц, грозных небесных хищников, обладающих властью над погодой и молниями. Они способны двигаться с огромной скоростью, вызывать дождь и гром, а также самостоятельно выпускать электрические разряды. Вы получаете пару, способную к размножению.
38. Вупер, 1.0
#Pokemon - Забавное водное существо с простоватым видом. Может плеваться водой и физически сильнее человека, но его главное оружие — невероятно милый и глуповатый внешний вид.
39. Гардевуар, 6.0
#Pokemon - Существо неизвестного происхождения, известное своей преданностью и эмпатией. Гардевуар обладает колоссальной психокинетической силой, способна искажать пространство, создавать миниатюрные чёрные дыры, использовать телепатию, телекинез и даже видеть будущее при достаточной подготовке. Её сила достигает пика, когда она защищает своего хозяина.
40. Кайогр, 6.7
#Pokemon - Первобытное божество морей, обладающее непревзойдёнными гидрокинетическими способностями. Даже в базовой форме Кайогр способен затапливать целые города и постепенно погружать под воду целые страны. В своей первозданной форме он способен затопить огромный континент всего за несколько часов.
41. Граудон, 6.3
#Pokemon - Первобытное божество земли, обладающее непревзойдёнными геокинетическими способностями. Даже в своей базовой форме Граудон способен создавать целые острова буквально под своими ногами и формировать километровые каменные клинки. В своей первозданной форме он может превратить всю планету в бесплодную выжженную пустошь всего за один день.
42. Райкваза, 6.7
#Pokemon - Первобытный дракон-бог небес, обладающий непревзойдённой скоростью, силой и властью над воздушными потоками. Даже в обычной форме Райкваза способен двигаться на огромных скоростях, изменять погоду, управлять разрушительными ветрами и выпускать всплески чистой драконьей энергии. В форме Мега-Эволюции он способен уничтожать астероиды, способные стереть жизнь с поверхности Земли.
43. Гарчомп, 4.2
#Pokemon - Обычный дикий Гарчомп. Крупный и устрашающий дракон земли с огромной физической силой. Он способен управлять землёй, вызывая землетрясения, разломы и каменные клинки, вырывающиеся из почвы. Каким-то образом он также умеет летать на скоростях, превышающих скорость звука.
44. Зороарк, 3.5
#Pokemon - Двуногий лисоподобный тёмный покемон, способный использовать тёмную энергию для атак. Однако его главная способность заключается в мастерстве создания иллюзий. Зороарк может создавать невероятно реалистичные обманы чувств и принимать любые формы практически безупречно. Он способен заставить галлюцинировать сотни людей одновременно или накрыть иллюзией огромную территорию.
45. Хаспид, 4.1
#Hota - Гигантский ядовитый морской змей, превосходящий размерами торговые суда. Его ядовитое дыхание способно плавить металл и ставить на колени даже богов. Хаспиды также способны размножаться.
46. Грифон, 2.4
#Hota - Могучий зверь с нижней частью тела льва и верхней частью тела орла размером со слона. Этот свирепый, но крайне преданный зверь поставляется в виде пары — самца и самки, способных приносить потомство.
47. Тору, 7.4
#Kobayashi - Могущественная драконица, управляющая огнём и способная принимать облик женщины. Тору обладает выдающимися физическими и магическими способностями, достаточными для уничтожения вооружённых сил обычной Земли без особых усилий. Помимо регенерации, она способна открывать порталы, использовать ясновидение и становиться невидимой. Также испытывает странную любовь к костюмам горничных.
48. Кетцалькоатль, 7.8
#Kobayashi - Бывшая драконья богиня, ныне просто дракон невероятной силы. Сейчас она предпочитает имя Лукоа и любит подшучивать над людьми вместо того, чтобы устраивать конец света. Обладает колоссальной физической и магической мощью, способна уничтожать целые острова дыхательными атаками, создавать порталы и использовать разнообразную магию.
49. Ядро Голема, 3.6
#Разумное ядро голема размером с баскетбольный мяч, способное поглощать материалы из окружающей среды и формировать полноценное тело голема. Оно может свободно отбрасывать и ассимилировать неорганические материалы для усиления и изменения собственной формы в зависимости от потребностей. Голем разумен, понимает речь и её нюансы. Максимальный объём материала, который он может поглотить одновременно, зависит от максимального запаса энергии пользователя.
50. Обсидиановые Гаргульи, 2.1
#Hota - Обсидиановые статуи гаргулий, наделённые жизнью. Эти летающие создания обманчиво быстры, прочны и сильны. Они способны разорвать взрослого человека пополам так же легко, как лист бумаги, и игнорировать огонь из лёгкого стрелкового оружия. Вы получаете небольшой отряд этих существ. Их количество увеличивается по мере роста вашей силы, начиная с пяти особей.
51. Единорог, 4.2
#Мифический единорог — существо, олицетворяющее чистоту и ясность. Он способен исцелять других и очищать предметы при помощи своего рога. Кроме того, его физическая сила настолько велика, что современная армия окажется практически бесполезной против него. Однако ездить на единороге может только тот, кто сохранил чистоту души. В противном случае придётся привязывать сани.
52. Лиф, 5.0
